,LEA,LEADescription,AdminFirstName,AdminLastName,AdminEmailAddress,MailingAddress,MailingCity,MailingState,MailingZip,AverageClassSize,AverageYearsTeachingExperience,DistrictAverageSpendingPerPupil,StateAverageSpendingPerPupil,SchoolChoiceTransfers,Expulsions,WeaponsIncidents,StaffAssaults,StudentAssaults,SchoolEnrollment,SchoolChoiceTotal,NumberOfStudentsTestedInGrades9Thru11,NumberOfStudentsTestedInGrade12,AvgReading,AvgEnglish,AvgMath,AvgScience,AvgComposite,NumberOfStudentsTested,CriticalReadingMean,MathMean,WritingMean,NumberOfStudentsTakingAPCourses,NumberOfAPExamsTaken,NumberOfAPExamsScored3OrAbove,NumberOfStudentsTakingIBCourses,OverallCollegeGoingRate,OverallGraduationRate,DropoutRate,CollegeRemediationRate,Rating,OverallPoints,NativeAmericanOrAlaskan,Hispanic,NativeHawaiianOrPacificIslander,BlackAfricanAmerican,TwoOrMoreRaces,White,Asian,EconDisadvantaged,SPED,LEP,Overall Expected Grad,Overall Graduation Rate,Hispanic Overall Grad Rate,Native American Overall Grad Rate,Asian Overall Grad Rate,African American Overall Grad Rate,Hawaiian/Pacific Islander Overall Grad Rate,Caucasian Overall Grad Rate,Two or More Overall Grad Rate,Economic Disadvantage Overall Grad Rate,SPED Overall Grad Rate,LEP Overall Grad Rate
0,101001,Dewitt Elementary School,Julie,Amstutz,jamstutz@dewitt.k12.ar.us,1718 S Grandview,DeWitt,AR,72042.0,17.0,14.0,9221.05,9641.65,0.0,,3.0,2.0,,489.0,2.0,,,,,,,,,,,,,,,,,RV,,,C,221.0,0.0,7.157464212678,0.0,13.087934560327001,3.885480572597,75.869120654396,0.0,69.12,11.656441717791,3.476482617586,,,,,,,,,,,,
1,101003,Dewitt Middle School,Clay,Ashcraft,cashcraft@dewitt.k12.ar.us,301 N. Jackson,DeWitt,AR,72042.0,14.0,16.0,9221.05,9641.65,0.0,,,,,291.0,2.0,,,,,,,,,,,,,,,,,RV,1.43,,C,212.0,0.0,3.092783505154,0.0,10.652920962199,2.405498281786,83.84879725085901,0.0,63.92,13.745704467353,0.0,,,,,,,,,,,,
2,101004,Dewitt High School,Harold,Weaver,mweaver@dewitt.k12.ar.us,1614 S. Grandview,DeWitt,AR,72042.0,14.0,10.0,9221.05,9641.65,0.0,,,,,390.0,2.0,72.0,65.0,19.94,18.72,18.43,19.2,19.23,2.0,RV,RV,RV,78.0,118.0,12.0,,57.8,88.12,4.62,63.08,B,246.0,0.25641025641,3.589743589743,0.0,15.641025641025,1.538461538461,78.717948717948,0.25641025641,53.59,14.358974358973999,0.25641025641,101,88.12,0.00,0.00,RV,91.67,0.00,86.67,RV,86.54,92.86,0.00
3,101008,Gillett Elementary School,Rachel,Mitchell,rmitchell@dewitt.k12.ar.us,PO Box 700,"DeWitt, AR",AR,72042.0,14.0,17.0,9221.05,9641.65,0.0,,1.0,,,87.0,0.0,,,,,,,,,,,,,,,,,RV,,,B,253.0,0.0,1.149425287356,0.0,5.7471264367809995,1.149425287356,91.954022988505,0.0,52.87,6.896551724137,0.0,,,,,,,,,,,,
4,104021,Park Avenue Elementary School,PAM,DEAN,pdean@stuttgartschools.org,2501 S Main,Stuttgart,AR,72160.0,19.0,12.0,8859.67,9641.65,0.0,,,,,637.0,32.0,,,,,,,,,,,,,,,,,RV,,,C,212.0,0.0,6.593406593406,0.0,49.293563579277,0.156985871271,43.171114599686,0.784929356357,74.41,13.500784929356,5.180533751962,,,,,,,,,,,,
5,104023,Meekins Middle School,SHARON,KONECNY,skonecny@stuttgartschools.org,2501 S Main,Stuttgart,AR,72160.0,17.0,7.0,8859.67,9641.65,0.0,1.0,,2.0,1.0,252.0,15.0,,,,,,,,,,,,,,,,,RV,0.0,,D,209.0,0.0,4.365079365079,0.7936507936499999,44.444444444443995,1.984126984126,48.015873015873005,0.39682539682499995,66.27,13.888888888888,3.968253968253,,,,,,,,,,,,
6,104025,Stuttgart High School,DONNIE,BOOTHE,dboothe@stuttgartschools.org,2501 S Main,Stuttgart,AR,72160.0,14.0,12.0,8859.67,9641.65,0.0,3.0,1.0,,3.0,510.0,29.0,92.0,82.0,20.61,19.77,20.06,20.13,20.3,1.0,RV,RV,RV,115.0,160.0,21.0,,63.5,81.94,3.92,52.44,C,218.0,0.196078431372,3.13725490196,0.0,43.92156862745,1.372549019607,49.607843137254,1.7647058823519999,54.12,6.862745098039,2.3529411764700003,144,81.94,RV,0.00,RV,71.62,0.00,95.08,RV,75.34,RV,RV
7,104026,Stuttgart Junior High School,CEDRIC,HAWKINS,chawkins@stuttgartschools.org,2501 S Main,Stuttgart,AR,72160.0,11.0,12.0,8859.67,9641.65,0.0,,,,6.0,262.0,16.0,,,,,,,,,,,,,,,,,RV,1.53,,D,184.0,0.0,1.908396946564,0.0,40.839694656488,1.908396946564,53.816793893128995,1.5267175572510001,56.49,9.923664122137001,2.290076335877,,,,,,,,,,,,
8,201001,Crossett Elementary School,VERONICA,ROBINSON,vrobinson@csd.k12.ar.us,1100 Camp Rd,Crossett,AR,71635.0,20.0,12.0,9063.49,9641.65,0.0,,4.0,2.0,,720.0,3.0,,,,,,,,,,,,,,,,,RV,,,C,211.0,0.27777777777699997,4.305555555554999,0.138888888888,34.861111111111,2.083333333333,58.055555555555,0.27777777777699997,71.25,11.25,2.777777777777,,,,,,,,,,,,
9,201006,Crossett High School,Alicia,Brown,abrown@csd.k12.ar.us,301 W 9th Ave,Crossett,AR,71635.0,13.0,9.0,9063.49,9641.65,0.0,,1.0,1.0,4.0,529.0,1.0,99.0,98.0,19.27,17.33,17.89,18.85,18.5,0.0,RV,RV,RV,143.0,241.0,44.0,,62.9,77.18,2.09,75.51,C,212.0,0.0,2.646502835538,0.0,34.404536862003,0.567107750472,61.625708884687995,0.756143667296,52.55,7.561436672967,1.323251417769,149,77.18,RV,0.00,RV,77.59,0.00,77.27,0.00,78.26,RV,RV
